Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
1,56.5,-2.313321723,15.46997718,0.074236235,13.70701599,13.89256678,14.19532216,14.75413556,15.46997718,16.31554106,16.8378366,17.22483458,17.85698505,18.31136265
1,57.5,-2.391381273,15.45545692,0.074643374,13.69339739,13.87808525,14.1797919,14.73791599,15.45545692,16.30719914,16.83580365,17.22880383,17.87335318,18.33875356
1,58.5,-2.468032491,15.44213961,0.075072264,13.68036242,13.86425959,14.16502885,14.72265501,15.44213961,16.30041561,16.83563223,17.23492502,17.89251642,18.36957256
1,59.5,-2.542781541,15.43003207,0.075522104,13.66789962,13.85108308,14.15103287,14.70836004,15.43003207,16.29517994,16.83729272,17.24315148,17.91439894,18.40372671
1,60.5,-2.61516595,15.41914163,0.07599225,13.65599683,13.83854804,14.13780261,14.69503764,15.41914163,16.29148397,16.84075838,17.25343909,17.93892524,18.44112021
1,61.5,-2.684789516,15.40947356,0.076482128,13.64464353,13.82664746,14.1253362,14.68269244,15.40947356,16.28931904,16.84600319,17.26574515,17.96602144,18.48165813
1,62.5,-2.751316949,15.40103139,0.076991232,13.63383056,13.81537489,14.11363117,14.67132735,15.40103139,16.28867619,16.85300198,17.28002846,17.99561523,18.52524599
1,63.5,-2.81445945,15.39381785,0.077519149,13.62354907,13.8047237,14.10268433,14.66094403,15.39381785,16.28954723,16.86173124,17.29624981,18.02763543,18.57178832
1,64.5,-2.87402476,15.38783094,0.07806539,13.61379452,13.79469004,14.09249299,14.65154144,15.38783094,16.29191982,16.87216519,17.31436954,18.06201396,18.62119533
1,65.5,-2.92984048,15.38306945,0.078629592,13.60456106,13.78526882,14.08305345,14.64311821,15.38306945,16.29578396,16.88428085,17.33435063,18.09868317,18.67337395
1,66.5,-2.981796828,15.37952958,0.079211369,13.595845,13.77645627,14.0743621,14.63567131,15.37952958,16.30112773,16.89805459,17.35615653,18.13757754,18.72823379
1,67.5,-3.029831343,15.37720582,0.079810334,13.58764387,13.76824936,14.06641528,14.62919656,15.37720582,16.30793819,16.91346275,17.37975148,18.17863327,18.78568583
1,68.5,-3.073924224,15.37609107,0.080426086,13.57995642,13.76064574,14.05920932,14.62368881,15.37609107,16.31620135,16.93048153,17.40510042,18.22178824,18.84564261
1,69.5,-3.114093476,15.37617677,0.081058206,13.57278245,13.75364373,14.05274063,14.619142,15.37617677,16.32590217,16.94908693,17.43216882,18.26698191,18.90801826
1,70.5,-3.15039004,15.37745304,0.081706249,13.56612272,13.7472423,14.04700569,14.61554938,15.37745304,16.33702456,16.96925461,17.46092258,18.31415529,18.97272855
1,71.5,-3.182893018,15.37990886,0.082369741,13.55997887,13.74144099,14.04200114,14.6129036,15.37990886,16.34955145,16.99095993,17.49132795,18.36325085,19.03969094
1,72.5,-3.21170511,15.38353217,0.083048178,13.55435329,13.73623987,14.03772376,14.61119682,15.38353217,16.36346484,17.01417786,17.52335144,18.41421242,19.10882456
1,73.5,-3.23694834,15.38831005,0.083741021,13.54924901,13.73163946,14.03417051,14.61042085,15.38831005,16.37874588,17.03888299,17.55695978,18.46698511,19.18005024
1,74.5,-3.25876011,15.39422883,0.0844477,13.54466964,13.72764072,14.03133851,14.61056719,15.39422883,16.39537493,17.06504953,17.59211982,18.52151524,19.25329044
1,75.5,-3.277281546,15.40127496,0.085167651,13.54061839,13.72424433,14.02922475,14.61162737,15.40127496,16.41333266,17.09265223,17.62879914,18.57774996,19.32846782
1,76.5,-3.292683774,15.40943252,0.085900184,13.53710097,13.72145289,14.02782718,14.61359223,15.40943252,16.43259653,17.12166319,17.66696377,18.63563816,19.4055104
1,77.5,-3.305124073,15.41868691,0.086644667,13.53412147,13.71926775,14.02714319,14.61645307,15.41868691,16.45314588,17.15205629,17.70658129,18.69512904,19.48434431
1,78.5,-3.314768951,15.42902273,0.087400421,13.53168472,13.71769094,14.0271705,14.62020097,15.42902273,16.47495885,17.18380454,17.74761885,18.75617288,19.56489823
1,79.5,-3.321785992,15.44042439,0.088166744,13.52979573,13.71672458,14.027907,14.62482705,15.44042439,16.49801329,17.21688072,17.7900437,18.81872078,19.64710224
1,80.5,-3.326345795,15.45287581,0.088942897,13.52845994,13.71637124,14.02935081,14.63032238,15.45287581,16.52228624,17.25125697,17.83382275,18.88272474,19.7308886
1,81.5,-3.328602731,15.46636218,0.089728202,13.5276813,13.71663233,14.03149952,14.63667844,15.46636218,16.54775649,17.28690708,17.87892434,18.948137,19.81618799
1,82.5,-3.328725277,15.48086704,0.090521875,13.52746565,13.71751078,14.03435159,14.64388639,15.48086704,16.57440029,17.32380254,17.9253152,19.01491107,19.902936
1,83.5,-3.32687018,15.49637465,0.091323162,13.52781794,13.71900887,14.03790521,14.65193763,15.49637465,16.6021948,17.3619157,17.97296286,19.08300081,19.99106797
1,84.5,-3.323188896,15.51286936,0.092131305,13.52874305,13.72112886,14.0421586,14.66082372,15.51286936,16.6311172,17.40121891,18.02183493,19.15236073,20.08052042
1,85.5,-3.317827016,15.53033563,0.092945544,13.53024568,13.72387293,14.04710998,14.67053629,15.53033563,16.66114466,17.44168456,18.07189919,19.22294589,20.17123104
1,86.5,-3.310923871,15.54875807,0.093765118,13.53233036,13.72724315,14.05275762,14.68106712,15.54875807,16.69225445,17.48328513,18.12312353,19.29471191,20.2631386
1,87.5,-3.302612272,15.56812143,0.09458927,13.53500147,13.7312415,14.05909975,14.69240809,15.56812143,16.72442396,17.52599317,18.17547605,19.36761493,20.35618297
1,88.5,-3.293018361,15.58841065,0.095417247,13.53826314,13.73586983,14.06613458,14.7045512,15.58841065,16.7576307,17.56978138,18.22892501,19.44161165,20.45030507
1,89.5,-3.282260813,15.60961101,0.096248301,13.54211938,13.7411299,14.0738604,14.71748869,15.60961101,16.79185246,17.61462266,18.28343882,19.51665894,20.54544624
1,90.5,-3.270454609,15.63170735,0.097081694,13.54657375,13.74702309,14.08227508,14.73121238,15.63170735,16.82706672,17.66048985,18.33898626,19.59271539,20.64155132
1,91.5,-3.257703616,15.65468563,0.097916698,13.55162988,13.753551,14.091377,14.74571498,15.65468563,16.86325188,17.70735632,18.39553611,19.6697383,20.73856241
1,92.5,-3.244108214,15.67853139,0.098752593,13.55729098,13.7607148,14.10116411,14.76098876,15.67853139,16.90038609,17.75519541,18.45305756,19.74768666,20.83642509
1,93.5,-3.229761713,15.70323052,0.099588675,13.56356006,13.76851558,14.1116344,14.77702622,15.70323052,16.9384478,17.80398077,18.51151998,19.82651963,20.93508525
1,94.5,-3.214751287,15.72876911,0.100424251,13.57043987,13.77695423,14.12278578,14.79381994,15.72876911,16.97741575,17.85368626,18.57089304,19.90619689,21.03448975
1,95.5,-3.199158184,15.75513347,0.101258643,13.57793291,13.78603145,14.13461608,14.81136258,15.75513347,17.01726889,17.90428602,18.63114669,19.98667859,21.13458634
1,96.5,-3.18305795,15.78231007,0.102091189,13.58604144,13.79574779,14.14712305,14.82964685,15.78231007,17.05798645,17.95575444,18.69225117,20.06792538,21.2353237
1,97.5,-3.166520664,15.8102856,0.102921245,13.59476742,13.80610355,14.16030433,14.84866554,15.8102856,17.09954792,18.00806622,18.75417705,20.1498984,21.33665138
1,98.5,-3.1496103,15.83904708,0.103748189,13.60411246,13.81709878,14.17415743,14.86841153,15.83904708,17.14193325,18.06119653,18.81689537,20.23255928,21.4385195
1,99.5,-3.132389637,15.86858123,0.104571386,13.61407844,13.82873375,14.18867999,14.88887764,15.86858123,17.18512191,18.1151201,18.8803769,20.31587026,21.54088032
1,100.5,-3.114911153,15.89887562,0.105390269,13.62466611,13.84100784,14.20386916,14.91005687,15.89887562,17.22909475,18.16981303,18.94459357,20.39979379,21.64368493
1,101.5,-3.097226399,15.92991765,0.106204258,13.63587653,13.85392068,14.21972223,14.93194218,15.92991765,17.2738323,18.22525119,19.00951733,20.48429323,21.74688677
1,102.5,-3.079383079,15.96169481,0.107012788,13.64771054,13.86747174,14.23623642,14.95452659,15.96169481,17.31931519,18.28141055,19.07512019,20.56933216,21.85043987
1,103.5,-3.061423765,15.99419489,0.107815327,13.66016853,13.88166013,14.25340873,14.97780313,15.99419489,17.36552463,18.33826774,19.14137485,20.6548748,21.95429887
1,104.5,-3.043386071,16.02740607,0.108611374,13.67325038,13.89648454,14.27123591,15.00176488,16.02740607,17.4124424,18.39579999,19.20825462,20.74088584,22.05841878
1,105.5,-3.025310003,16.0613159,0.109400388,13.68695684,13.91194439,14.28971516,15.02640489,16.0613159,17.46004925,18.45398355,19.27573205,20.82733059,22.16275742
1,106.5,-3.007225737,16.09591292,0.110181915,13.70128712,13.92803786,14.30884292,15.05171626,16.09591292,17.50832768,18.51279647,19.34378135,20.9141748,22.26727123
1,107.5,-2.989164598,16.13118532,0.110955478,13.71624103,13.94476358,14.32861592,15.07769209,16.13118532,17.55725951,18.57221621,19.41237631,21.00138483,22.37191887
1,108.5,-2.971148225,16.16712234,0.111720691,13.73181676,13.9621189,14.3490301,15.10432556,16.16712234,17.60682848,18.63222223,19.48149248,21.08892746,22.47665729
1,109.5,-2.953208047,16.20371168,0.112477059,13.7480147,13.98010297,14.37008248,15.13160968,16.20371168,17.65701563,18.69279128,19.55110329,21.17677023,22.58144893
1,110.5,-2.935363951,16.24094239,0.1132242,13.76483325,13.99871328,14.39176909,15.15953759,16.24094239,17.70780444,18.75390266,19.62118443,21.26488107,22.68625363
1,111.5,-2.917635157,16.27880346,0.113961734,13.78227084,14.01794738,14.41408598,15.1881024,16.27880346,17.75917825,18.81553565,19.69171163,21.3532285,22.79103265
1,112.5,-2.900039803,16.31728385,0.114689291,13.80032593,14.03780282,14.43702918,15.21729722,16.31728385,17.81112044,18.87766958,19.76266083,21.44178165,22.89574847
1,113.5,-2.882593796,16.35637267,0.115406523,13.81899666,14.0582769,14.46059456,15.2471151,16.35637267,17.86361469,18.94028419,19.83400841,21.53051015,23.00036429
1,114.5,-2.865311266,16.39605916,0.116113097,13.83828098,14.07936677,14.48477791,15.27754914,16.39605916,17.91664493,19.00335954,19.90573115,21.61938426,23.10484416
1,115.5,-2.848204697,16.43633265,0.116808702,13.85817663,14.10106937,14.50957485,15.30859238,16.43633265,17.97019532,19.06687603,19.97780623,21.70837477,23.20915296
1,116.5,-2.831285052,16.47718256,0.117493042,13.87868113,14.1233815,14.53498094,15.34023785,16.47718256,18.02425026,19.13081436,20.05021121,21.79745308,23.31325641
1,117.5,-2.81456189,16.51859843,0.11816584,13.8997918,14.14629977,14.56099157,15.37247856,16.51859843,18.0787944,19.19515554,20.12292406,21.88659115,23.41712109
1,118.5,-2.79804347,16.56056987,0.118826835,13.92150576,14.16982063,14.58760204,15.40530752,16.56056987,18.13381258,19.25988094,20.19592313,21.97576153,23.5207144
1,119.5,-2.781736856,16.60308661,0.119475785,13.94381995,14.19394037,14.61480754,15.43871766,16.60308661,18.1892899,19.3249722,20.26918717,22.06493737,23.62400462
1,120.5,-2.765648008,16.64613844,0.120112464,13.96673109,14.21865508,14.64260311,15.47270195,16.64613844,18.24521166,19.3904113,20.34269534,22.15409238,23.72696086
1,121.5,-2.749782197,16.68971518,0.120736656,13.99023581,14.24396081,14.67098376,15.50725326,16.68971518,18.3015633,19.45618042,20.41642709,22.24320091,23.82955322
1,122.5,-2.734142443,16.73380695,0.121348181,14.01433021,14.26985313,14.6999442,15.5423645,16.73380695,18.35833084,19.52226247,20.49036263,22.33223786,23.93175206
1,123.5,-2.718732873,16.77840363,0.121946849,14.0390107,14.29632789,14.72947925,15.57802849,16.77840363,18.41549995,19.58864006,20.56448202,22.42117875,24.0335295
1,124.5,-2.703555506,16.82349538,0.122532501,14.06427317,14.32338048,14.75958347,15.61423805,16.82349538,18.4730569,19.65529649,20.63876611,22.5099997,24.1348579
1,125.5,-2.688611957,16.86907238,0.123104991,14.09011344,14.35100623,14.79025137,15.65098595,16.86907238,18.53098805,19.72221531,20.71319602,22.59867744,24.23571063
1,126.5,-2.673903164,16.91512487,0.123664186,14.11652711,14.37920031,14.8214773,15.68826493,16.91512487,18.58928,19.78938034,20.78775327,22.68718928,24.33606191
1,127.5,-2.659429443,16.96164317,0.124209969,14.14350962,14.40795771,14.85325552,15.72606768,16.96164317,18.64791953,19.85677572,20.86241981,22.77551316,24.43588681
1,128.5,-2.645190534,17.00861766,0.124742239,14.17105623,14.43727329,14.88558018,15.76438688,17.00861766,18.70689364,19.92438591,20.93717795,22.86362762,24.53516127
1,129.5,-2.631185649,17.05603879,0.125260905,14.19916203,14.46714175,14.91844531,15.80321513,17.05603879,18.76618951,19.99219565,21.01201043,22.95151182,24.63386207
1,130.5,-2.617413511,17.10389705,0.125765895,14.22782193,14.49755765,14.95184482,15.84254502,17.10389705,18.82579454,20.06019002,21.08690037,23.03914551,24.73196683
1,131.5,-2.603872392,17.15218302,0.126257147,14.25703066,14.52851537,14.98577251,15.8823691,17.15218302,18.88569633,20.12835437,21.1618313,23.12650908,24.82945404
1,132.5,-2.590560148,17.20088732,0.126734613,14.28678279,14.56000917,15.02022206,15.92267985,17.20088732,18.94588267,20.19667437,21.23678716,23.21358351,24.92630305
1,133.5,-2.577474253,17.25000062,0.12719826,14.31707271,14.59203313,15.05518706,15.96346973,17.25000062,19.00634155,20.265136,21.31175226,23.30035043,25.02249405
1,134.5,-2.564611831,17.29951367,0.127648067,14.34789463,14.62458122,15.09066095,16.00473115,17.29951367,19.06706116,20.33372554,21.38671134,23.38679204,25.11800807
1,135.5,-2.551969684,17.34941726,0.128084023,14.37924262,14.65764722,15.1266371,16.04645648,17.34941726,19.12802987,20.40242956,21.46164953,23.4728912,25.21282703
1,136.5,-2.539539972,17.39970308,0.128506192,14.41110933,14.69122381,15.16310811,16.08863812,17.39970308,19.18923776,20.4712365,21.53655365,23.55863129,25.3069313
1,137.5,-2.527325681,17.45036072,0.128914497,14.44349038,14.72530601,15.20006805,16.13126821,17.45036072,19.25067129,20.54013114,21.61140764,23.64399652,25.40030815
1,138.5,-2.515320235,17.50138161,0.129309001,14.47637861,14.75988661,15.23750958,16.17433905,17.50138161,19.31232029,20.60910189,21.6861986,23.72897155,25.49294066
1,139.5,-2.503519447,17.55275674,0.129689741,14.50976741,14.79495883,15.27542561,16.21784281,17.55275674,19.37417388,20.6781365,21.76091323,23.81354171,25.58481418
1,140.5,-2.491918934,17.60447714,0.130056765,14.54365005,14.83051578,15.31380892,16.26177162,17.60447714,19.43622137,20.74722303,21.83553865,23.89769296,25.67591492
1,141.5,-2.480514136,17.6565339,0.130410133,14.57801961,14.86655039,15.3526522,16.30611758,17.6565339,19.49845226,20.81634983,21.91006237,23.98141187,25.76622996
1,142.5,-2.469300331,17.70891811,0.130749913,14.61286903,14.90305549,15.39194804,16.35087272,17.70891811,19.5608562,20.88550554,21.98447229,24.06468566,25.85574725
1,143.5,-2.458272656,17.76162094,0.131076187,14.6481911,14.94002374,15.43168891,16.39602903,17.76162094,19.62342306,20.95467909,22.05875672,24.14750216,25.94445561
1,144.5,-2.447426113,17.81463359,0.131389042,14.68397844,14.97744768,15.47186716,16.44157847,17.81463359,19.68614286,21.02385969,22.13290433,24.22984982,26.0323447
1,145.5,-2.436755595,17.86794729,0.131688579,14.72022354,15.01531973,15.51247506,16.48751291,17.86794729,19.74900579,21.09303687,22.20690421,24.31171774,26.11940509
1,146.5,-2.426255887,17.92155332,0.131974905,14.75691872,15.05363215,15.55350476,16.53382421,17.92155332,19.81200224,21.1622004,22.28074585,24.39309562,26.20562819
1,147.5,-2.415921689,17.97544299,0.132248138,14.79405616,15.09237707,15.5949483,16.58050415,17.97544299,19.87512275,21.23134038,22.35441912,24.47397382,26.2910063
1,148.5,-2.405747619,18.02960765,0.132508403,14.83162791,15.13154651,15.63679762,16.62754449,18.02960765,19.93835804,21.30044717,22.42791427,24.55434332,26.37553258
1,149.5,-2.395728233,18.08403868,0.132755834,14.86962583,15.17113234,15.67904455,16.67493692,18.08403868,20.001699,21.36951141,22.50122197,24.63419572,26.45920106
1,150.5,-2.385858029,18.1387275,0.132990575,14.90804168,15.2111263,15.72168083,16.72267307,18.1387275,20.06513669,21.43852405,22.57433325,24.71352325,26.54200665
1,151.5,-2.376131459,18.19366555,0.133212776,14.94686707,15.25152001,15.76469808,16.77074454,18.19366555,20.12866232,21.5074763,22.64723955,24.79231881,26.62394515
1,152.5,-2.366542942,18.24884431,0.133422595,14.98609343,15.29230496,15.80808782,16.81914286,18.24884431,20.1922673,21.57635964,22.7199327,24.87057587,26.7050132
1,153.5,-2.357086871,18.3042553,0.133620197,15.0257121,15.33347251,15.85184148,16.86785954,18.3042553,20.25594317,21.64516586,22.79240491,24.9482886,26.78520835
1,154.5,-2.347757625,18.35989003,0.133805756,15.06571426,15.37501389,15.89595038,16.91688599,18.35989003,20.31968165,21.71388701,22.86464879,25.02545175,26.86452902
1,155.5,-2.338549576,18.41574009,0.133979452,15.10609095,15.41692023,15.94040572,16.96621361,18.41574009,20.38347461,21.78251541,22.93665733,25.10206075,26.94297451
1,156.5,-2.3294571,18.47179706,0.13414147,15.14683307,15.4591825,15.98519864,17.01583373,18.47179706,20.44731409,21.85104367,23.0084239,25.17811163,27.02054498
1,157.5,-2.320474586,18.52805255,0.134292005,15.1879314,15.50179159,16.03032014,17.06573761,18.52805255,20.51119228,21.91946467,23.07994228,25.25360108,27.09724149
1,158.5,-2.311596446,18.5844982,0.134431256,15.22937658,15.54473823,16.07576115,17.11591649,18.5844982,20.57510153,21.98777156,23.15120662,25.32852641,27.173066
1,159.5,-2.302817124,18.64112567,0.134559427,15.27115913,15.58801305,16.12151248,17.16636153,18.64112567,20.63903434,22.05595776,23.22221145,25.4028856,27.24802132
1,160.5,-2.294131107,18.69792663,0.134676731,15.31326943,15.63160658,16.16756484,17.21706384,18.69792663,20.70298336,22.12401698,23.2929517,25.47667722,27.32211115
1,161.5,-2.285532933,18.75489278,0.134783385,15.35569774,15.67550919,16.21390888,17.26801449,18.75489278,20.76694139,22.19194317,23.36342268,25.54990054,27.39534011
1,162.5,-2.277017201,18.81201584,0.134879611,15.39843418,15.71971118,16.2605351,17.31920447,18.81201584,20.83090139,22.25973057,23.43362008,25.62255542,27.46771366
1,163.5,-2.268578584,18.86928753,0.134965637,15.44146877,15.7642027,16.30743394,17.37062472,18.86928753,20.89485646,22.32737368,23.50353999,25.6946424,27.53923819
1,164.5,-2.260211837,18.92669959,0.135041695,15.48479139,15.80897382,16.35459573,17.42226614,18.92669959,20.95879983,22.39486727,23.57317887,25.76616263,27.60992094
1,165.5,-2.251911809,18.98424378,0.135108024,15.52839182,15.85401448,16.40201071,17.47411956,18.98424378,21.02272489,22.46220636,23.64253356,25.83711794,27.67977007
1,166.5,-2.243673453,19.04191185,0.135164867,15.57225971,15.89931451,16.44966902,17.52617573,19.04191185,21.08662518,22.52938625,23.71160129,25.90751079,27.74879463
1,167.5,-2.235491842,19.09969557,0.135212469,15.6163846,15.94486363,16.49756071,17.57842539,19.09969557,21.15049434,22.5964025,23.78037969,25.97734428,27.81700453
1,168.5,-2.227362173,19.15758672,0.135251083,15.66075591,15.99065148,16.54567574,17.63085916,19.15758672,21.21432619,22.66325092,23.84886673,26.04662217,27.88441062
1,169.5,-2.21927979,19.21557707,0.135280963,15.70536296,16.03666757,16.59400398,17.68346764,19.21557707,21.27811465,22.7299276,23.91706081,26.11534887,27.95102462
1,170.5,-2.211240187,19.27365839,0.135302371,15.75019496,16.0829013,16.64253518,17.73624136,19.27365839,21.34185379,22.79642886,23.98496068,26.18352944,28.01685913
1,171.5,-2.203239029,19.33182247,0.135315568,15.79524102,16.129342,16.69125904,17.78917078,19.33182247,21.40553781,22.86275131,24.05256549,26.25116959,28.08192768
1,172.5,-2.195272161,19.39006106,0.135320824,15.84049013,16.17597888,16.74016514,17.84224628,19.39006106,21.46916104,22.92889179,24.11987476,26.31827569,28.14624467
1,173.5,-2.187335625,19.44836594,0.135318407,15.8859312,16.22280106,16.78924297,17.8954582,19.44836594,21.53271791,22.99484741,24.18688841,26.38485476,28.20982542
1,174.5,-2.179425674,19.50672885,0.135308594,15.93155303,16.26979755,16.83848195,17.9487968,19.50672885,21.596203,23.06061552,24.25360674,26.45091448,28.27268613
1,175.5,-2.171538789,19.56514153,0.135291662,15.97734432,16.31695728,16.8878714,18.00225228,19.56514153,21.659611,23.12619375,24.3200304,26.51646321,28.33484391
1,176.5,-2.163671689,19.62359571,0.135267891,16.02329371,16.3642691,16.93740054,18.05581474,19.62359571,21.72293673,23.19157996,24.38616048,26.58150994,28.39631678
1,177.5,-2.155821357,19.6820831,0.135237567,16.0693897,16.41172173,16.98705851,18.10947424,19.6820831,21.78617511,23.25677226,24.4519984,26.64606434,28.45712363
1,178.5,-2.147985046,19.74059538,0.135200976,16.11562074,16.45930384,17.03683437,18.16322076,19.74059538,21.84932117,23.32176902,24.517546,26.71013675,28.51728428
1,179.5,-2.140160305,19.7991242,0.135158409,16.1619752,16.50700399,17.08671707,18.21704418,19.7991242,21.91237008,23.38656886,24.5828055,26.77373817,28.57681946
1,180.5,-2.132344989,19.85766121,0.135110159,16.20844134,16.55481067,17.13669551,18.27093434,19.85766121,21.97531708,23.45117065,24.64777949,26.83688026,28.63575076
1,181.5,-2.124537282,19.916198,0.135056522,16.25500735,16.60271228,17.18675845,18.32488097,19.916198,22.03815755,23.5155735,24.71247097,26.89957537,28.69410072
1,182.5,-2.116735712,19.97472615,0.134997797,16.30166137,16.65069714,17.23689462,18.37887373,19.97472615,22.10088696,23.57977678,24.77688329,26.96183652,28.75189275
1,183.5,-2.108939167,20.03323719,0.134934285,16.34839144,16.69875348,17.28709261,18.4329022,20.03323719,22.16350089,23.6437801,24.84102024,27.02367739,28.80915118
1,184.5,-2.10114692,20.09172262,0.134866291,16.39518554,16.74686947,17.33734097,18.48695587,20.09172262,22.22599501,23.70758332,24.90488595,27.08511234,28.86590125
1,185.5,-2.093358637,20.15017387,0.134794121,16.44203157,16.79503318,17.38762812,18.54102414,20.15017387,22.2883651,23.77118654,24.96848498,27.14615643,28.92216908
1,186.5,-2.085574403,20.20858236,0.134718085,16.4889174,16.84323264,17.43794242,18.59509632,20.20858236,22.35060703,23.83459013,25.03182226,27.20682538,28.97798172
1,187.5,-2.077794735,20.26693944,0.134638494,16.53583079,16.89145577,17.48827215,18.64916164,20.26693944,22.41271676,23.89779468,25.09490311,27.2671356,29.03336709
